Puzzle	Elapsed Minutes	Estimated Minutes	Difficulty	Improper
.........7...3...2.86....9.8.1...7..67.1.4.8.....5....3.......8.9....52...4.9.1..	6.02	4.39	0	0
...5.2.43.5...76....3.......6..4..5.5..7....4.1..3..9....4..2....82...1.37.1.....	7.05	5.69	1	0
.53....8...43.......9.8.64.......19..1.5.9.6..3...7....28.3.........47........93.	8.96	6.06	1	0
64.3.7.18.1.....4.8....6..9.........4.76....3...153.....29..4...6..48.7..........	5.32	5.94	0	0
.....4.....5.....4.2.9.1.5.31......8.7.....2.6......97...7.9.4.9.43..8.5...5.....	6.32	4.57	0	0
.....2...6..53.8....4.9...7.7......62..8..9....8..3.5...9.5....45.2..1...2...6..4	15.88	19.09	1	0
..658.1.75....6...93.4......5..71.3.......9....1.2...64...6..1......7...1......45	7.45	6.24	1	0
6.......1...6.9.....27.58...9.....1...51639.....2.4....76.4.35..5.3.1.4.4.......2	2.99	3.54	0	0
.517..6....9......7....2..8.7.........6...9.3.9.....4.1....3.....4...2....81.547.	5.70	5.94	0	1
..651...4.7.8.21...4.....2...9..87..8.....3.6.5..6.....3...7..15.19...4..........	14.25	8.67	1	0
......2..7..1....8..28.35..5...6.8.....9.8...4.....7.5..94.5...6.......7.7....92.	6.90	6.85	1	0
31...4..7...8.1...7....26...7.4..521.........851..9.4...76....5...2.8...4..5...93	3.69	3.17	0	0
...81....7...53.9......6..8......74..5.9...369.7.....563........71.6.5....43.1...	13.46	7.14	1	0
......2...3.72..4.2.4.58..3...4.9.............13.76..5.65.43...4...........9..81.	6.56	6.05	1	0
6.4........3.7.8.......5....2.9.87..3....7.6.1.......3.......28...3..9.6..9.1....	19.13	10.18	1	0
3.2...956..........69...2.....3.5............8..9.6.17...7.1..46.1.5...2.78..2.6.	4.14	4.28	0	0
...3...92...527..4.....83.1.97...1....1...9285.4.....31...73...768..2.....96.4...	6.39	3.35	0	0
...582..1..........486...5..6.....73...9.74..28........5...372..........4..219...	14.73	4.89	0	0
.2..9..1....4.2.....7.5.96.4..8.7..3...........26..5..8.4...7..1.......9..53.4...	19.50	15.59	1	0
........5..265...94.8.....2...2....6.3.....1.9....3...18....5.42...49..36........	11.54	7.34	1	0
....9..1...5.3......8.1472...9....8.263...1.9......2...423..9......47..6.........	9.12	7.52	0	0
.....5.6..5..739.....6.4...4.......2..1539...........6...4.7....27.6..4..9.1...3.	8.82	6.89	1	0
...1........62.9.1..7....2.4....5.7..5....8....64....29...4.5....23....9.4...9.37	14.47	12.39	1	0
6........3...5..2....26..7...7.......29...65...1...98.....981....5.7...9.....4.3.	6.38	5.21	0	0
1..5.........6...9......3523..9...4..4.2..........5..7..5.2.4...6.31..8...28..9..	4.35	3.64	0	1
..6..8......319.7....7....895..7.28..6.1...4..12.....5.....4....2.53..1....9..8..	14.43	8.65	1	0
..23.65..9.......77..9.2..1.........6.57.31.8.83.4.79..69...48.............4.8...	4.64	4.25	0	1
6..9.27....1....64.........75..21..8.........1....8.92..........16...48.8..2.75.9	6.72	4.02	0	0
..254......1...92..6...8........3.4..5...92........8.774......96..73......8....6.	14.61	7.91	1	0
17.....65...261....4.9.5.1.7.6.5.2.9.........9.5.3.4.6.6.7.4.9....519...59.....71	2.08	2.84	0	0
.692..51..2.1....97.......2...5.9.2...........7.8.2...4.......523...4..6.98..6.3.	5.33	5.98	0	0
....68....38.1..5......5..2...69.7....47...1.........92.7....41.8........6.3...2.	8.69	6.71	0	0
..5....7..1.2....8984...2.53..42..8...........2..95..38.2...6311....6.5..6....4..	4.96	5.53	0	0
74.9...5............64.71..5..6.4..83.......19....1..6..7..63............1...8.72	6.57	6.46	1	0
...5...8....4..9....3.7..41.....18..6....249392...7...3.........57..6..9......1..	24.32	4.97	1	0
..7..........694...1.....5663..8.....8...5.2.....2..915......4..4..5.9.....6..2..	5.90	5.47	0	0
38......9...4..2.7.7.5.....2..1..39...........637.2..1.....8.1.1....4...7..6...82	5.81	5.90	0	0
..5..78.....2....41...8.6...6....51...8...3..4.......99..13..8.2..8..4...4...6...	50.68	21.82	1	1
.5.......8...4...7..43.6.2.....1..7..65....8..9..6...2.732..8..6...5...1.......3.	11.87	9.58	1	0
.746.892...29.75..96.3.5.71....6....12.....37....8....45.2.1.86..74.91...318.679.	3.08	1.74	0	0
3....4.9.1..8..........2..6.4.5.89....5...7....72.6.4.2..6..........5....3.1..8.4	11.60	7.22	1	1
.9.8.7.2..6...2.3.1.......4......618.........8.9...5.24......7..1.9.8......7.3.6.	6.79	3.97	0	0
..857..1.4.29......3..........3..8.56.....4.9..9..5..........7......71.8.1..6.24.	8.11	4.23	0	0
...5..6.1.15.3..8..7...4.........9.29.3.5.4..5...........6.........4.19.3.1..9.7.	16.66	6.86	0	0
..7...8...2...4.5..1.....94.45.3..8.8.......6.9.2.1.4...47.93......6....1.......9	24.51	13.56	1	0
........3..43...966..4..52...1........7..59.484.9..6.......4...9.5.76..1....9.8..	32.24	10.81	1	1
7.9...5.38..9.2..7...5.6.....51.4..............12.86.......7...1..4....94.....8.1	18.68	7.22	1	0
4.5.....78......2.....9..8....9..7.....854......6.29...7..1..4.51.....9.9.8...3..	13.90	8.11	1	0
7...5....1....78.3......1.6...94.5..4..2.5..8..9.73...8.4......5.27.........8..47	3.83	3.69	0	0
..2....6.6.4.8.....5.3.......37...4.82.5.4.19.1...86.......5......1..9.4.3....7..	12.27	8.85	1	0
...3...8.....295.4...4.....2.9..8..1.3...1....15.......6.1..8.7......4...432..6..	5.67	7.40	0	0
9....2..62...3.7.9..37.98..1...2...8.64....3.............5.6...71.....5...5...4..	6.56	8.12	0	1
..1.....26......4.....9.8.1.2.9..78..4.2.7...1.8..4..3......3....75.1.....9......	20.53	14.62	1	0
..19..57...3...6..8....5..2.84....6.1.......4.5....9..9..1.7..5..7.......2.6.973.	5.12	4.73	0	0
..79.62..3.......9...127...2.47..1.5.....8.....65.9....75....6...1...8...4.....2.	9.14	5.12	0	0
4..3..8.2.8...765......1....1......9..6......9.....43....68...1.519.......2..5..3	10.72	7.63	1	0
2.......815.....74.9..2..1.3...9...6.1.3...4..........4..167..2.......3...5..81..	3.70	4.99	0	0
3..1......1...9..2..7.3..5..9.2.......8.1..67.3...7...4...5.9...8...1.2..7..8...6	11.80	9.16	1	0
7.......6...9.1.....42.65..1.......3.2.1.3.7..6..4..2..19...78.4..3.5..1.........	4.79	5.10	0	0
.81...62......4..56.9...8.....758...............326.....35.29.77..8....1.15....6.	4.36	4.03	0	0
.....7.32.629.5....5...39....57......9.....8......14....13...9....8.9263.2.5.....	4.84	3.69	0	0
6..2.8..1.....176..37...2..359...............2......9...85..63..6.3........9.4..7	6.53	5.42	0	0
73.9.5...9.64......8..67......89.4.1...5.62......4..872.1...56.8.....7.9.47....2.	6.79	4.94	1	0
.9.....1....8...6...2.375...4...3.8.1.......6.5.7.......926.8...1...5..4.6.....5.	3.32	4.09	0	0
.....7.5.....2.6..9.....1..4....3..57.68.9..35..6....7..5.4...6.981......4.7.....	9.77	6.46	1	0
9.876..3.....5.4.9..........72.........53...6.8..2.9.31.5....28.6.298............	3.84	4.53	0	0
.....5..3....14......8..25...5.....8.2..9.6.149.........1.3...2...14.8.63..9.....	12.20	8.51	1	0
1.48...6...2......6.3..95.8......214....4....3...6....2..5.......91.....8....6.21	8.88	8.16	0	1
.......1..38.6..9...5.1...397......8...4.2..15..6.......9.7...5...9...4...7..5.3.	4.95	7.61	0	0
.4.3...1..8.....47..1.74.......2.9....6.97........1.758...1..9.....58.24..2.....1	4.82	5.78	0	0
.28..69....6.9.8.54....8.3..8....3..1..9.5.......4.7...9.7....4.6..51.7..........	10.50	6.11	1	0
......95.14.3.......9.7...........36..17.....7...985.2...5.4.2.25....6......6..8.	23.51	10.84	1	0
7...5.1936..19....1....7.....6....2.24.....58.9....4.....3....6....18..5875.2...4	4.60	3.02	0	0
......321...6..7...8...9..42..4....69.3.7.5............31.....75.8.4.2....78.....	4.90	5.14	0	0
5...74.1...49.5......8....9....4..28.86..3......2...9..13.........1..48...7.5....	29.67	18.49	1	0
.6........1....53.8..1....2....5.9.335.2.4..72...8....6....1..5.31....9....32..8.	10.48	10.20	1	0
81......9..9...85......47.....912.....6.........34......14.95....7...18.64...7.3.	7.52	5.68	0	0
......4.25.3....9..18......3.9......84.9.25......14......3.7...6..5..3.........84	10.15	8.84	1	0
..29.74.....6.5..31...8....7.9...6.1.........4.8.....23...9...4..53.28....6..89..	22.14	8.12	1	0
.1...4...9.453..2....6.......3.4.....7...1..2...7.86....5......3..4..27.7..2...58	11.88	8.78	1	0
...69..3.........8..872..4.4...615.9..3..74.....5.....2.7........98.3....3..1...6	15.75	7.78	0	0
.....1..2.....6....173....4.31...58......4...57..3.4.6...8.9..1...4.....2.9..38..	6.02	7.33	0	0
..4.......6.3.2.4.1......58.7.64.3..............2..51.84.....71.9.4.1.....2...8..	5.59	6.41	0	0
.2.....6...63..8.515.....4.....9.1..5.......2..9.8.4..21......99.38.2..1.........	3.62	4.29	0	0
.......74......2..3..59.6...52.....91........7..2.856...9.16......9.....86.4..9.2	8.35	6.39	1	0
...84......2.3.78..........1...8....69.5...4.......35..5...2....6..19..8..3...46.	5.56	6.64	0	0
9.......8...5.1......39.54...7....6...3..82...2..4...7..9....24..56..7..1.....9..	18.41	11.42	1	0
7..3.......19....4.5.8.4.......8.9....8..67......9.2.56.....51.3.......64.5....9.	10.79	6.60	0	0
76.9.83..4.........3..1..862......9....8.1....1......55...4..7...4.....9..27...48	6.95	7.98	1	1
.4..........9.1.7...3..62198.....6....6..91.......5.24...5......1.78..........947	4.02	5.33	0	1
...6.2..4......52..1....8.93....89.........5.9..7.61...972.3....3..7...54.1....9.	9.33	10.49	1	0
..6...17....1.78..7.........84.9.6.....2..4.9.5...8.2..3.86.5..6............2...6	4.72	6.73	0	0
39.......8...53..6.4......9.7...1.......2.......48..1.4......8.5..76...4..6..8..2	4.42	4.51	0	0
....964....4.3....7..1.4.3.9.5...8...4.....17..1...6.3.8.9....6....8......321....	16.13	8.53	1	0
.1..9.82.2.......69.3.6.7...8.6.5.4..4.....7.5...4...9.613..28............2...9..	4.93	4.16	0	0
7.........15...32...34.8...6..192..7....5....1...67..3..97..1....6...73.8.......5	5.37	6.97	1	1
...2.1...98.3.5.461...9...3.1.....6....1.84.....5.6....4.....3.59.....1..37...69.	3.88	4.07	0	0
...6.....954.82..13.1..5.....6....9....7.8....2....3.....5..2.9...19.46......7...	6.22	5.34	0	0
..5............245...4.6.737....9.....4.1..2....5.89....213.....7..2..58.3.......	14.75	6.47	1	0
71....8....6.......3......25..879.4.6..2.3.....9.4.....4.9...61...1..2.9.....6.7.	9.56	4.52	0	0
91.....476..4.8..1..5.9.8...7.2.4.9...........9.7.5.2...6.1.4..2..8.6..915.....86	4.36	2.96	0	0
..28..5...69.17.8.1...3..67.2.1.6..8.46...19.8..2.9.4.79..2...1.1.69.87...4..19..	2.40	2.27	0	0
......2.....4.9....87.....659..1..4......2....2..7..857.2....5....6.1.....57..1..	4.22	4.77	0	0
....4.2.6139..6..72......5.5.3....7...4782..5.1.3......8.2.4.....1..7492....9.7..	2.45	3.35	0	0
.9....3....76....15...2..4.6...4....2....8..5....3...4.1..5...94....12....2....3.	8.97	9.11	1	1
7..2......12.4....93..87..5...4......95...67......8...1..7...48..6.2..3......1..7	4.36	4.22	0	0
.....62......5.3........97...7.9...4.4.7..85.25...1...136.8......4.7.......3....1	10.22	11.29	1	0
.241.......57...828...25....4.....53.....26..1.....4..3..6.......2.48....7...15..	4.30	6.90	0	0
..6.8.......3.6.....8..7....1.9...3.3..6.2..7.7.....65..42..5.....7.1.......5.8..	4.75	6.18	0	0
5.......2..94.25....7...8...3..9..4.7.......8.1........8...3......2.6....9.5.46..	10.56	8.39	1	0
..46.17...615..3..8..7.9..5.48...92.5.9...6.4............1.2.............76....3.	16.16	4.52	0	0
2.9...6.1...........4...9....34.51...8.....6.1.......5...6.8....3.591.4..5.3...8.	10.42	5.80	0	0
6...8.2.......94....1..58........1..4.81.23.7.3.........3...94...26.......5.2...8	5.89	7.56	0	0
8..5.7..2.3.....9...4..65...4.....5.1.8.7.3.9........8.5..8..7.9........2..4....3	6.77	6.10	0	0
.......9.91..78.4.2.........5........7..4..32..13..8......5....7.6.3.48.8....9...	5.53	6.98	0	0
8.....7146.4.....9.......8.37.1.......15.42...8..........892........69.5....4....	6.90	8.33	0	0
3.8....7........6242....3.96....7.1...9.1...3.1.53..2.29...............61..69...5	5.97	7.31	0	0
.1.4...2..2.81.6........5..2........17.6....3...3..4.....78...4...5...36.48.6..9.	21.03	8.74	1	0
.7.....9...1.6.7..6......312.......838..4...6..6.5.3....86.2.......3....19......5	5.08	7.12	0	0
7.....58..6.2.........6......9...6.2.4.......2.1...3.9....8.....1.3.4.9.39....71.	6.22	5.04	0	0
..4....7.1..4..8...6.1.....68.57..1...9...2.....692...8....39..5.....64..9.7.....	14.53	13.78	1	1
8..3....7.4...6.5..7.....1..61.7.92............9.5.18..3.....6....4.8...9..5....3	11.07	5.05	0	0
..76..19.......5..3.152...7.3.9....4..576.8.....4.....5.....7........9..1...8...3	9.04	6.26	0	1
.45......2.....36...36...8....5.......2.8.4.9..924...55...1.........4..8.1.3..74.	12.38	8.55	1	0
...1.....93.7......47..25........6.....94....7.2....813........2......9..783...26	6.19	6.79	0	0
.4.....8..9..3..2....1.......27.95..9..3.4..6.6.....4......21..3....8..95...9....	8.46	6.83	1	1
..945.82.....2....2...8..396.....2..324..15......4....8..9...6...6...75...5.....3	7.31	5.74	0	1
4....1...1.5.2.....9....612...8....6...4.6.7.637.9......8...4...2....1.7...532.6.	7.19	3.48	0	1
....9..826..1..7.3.......61.2...58..7....4.2.....3..7..7.4..5....5.61...134......	8.83	7.77	0	0
...6.....1.4.8...2.2.7.4.6.256...974.........9.......3.379.615...53..2...........	5.92	4.91	0	0
.967....2....8.9..2......4373.1.......59.84.......4.3.52......9....2....1......5.	10.86	7.35	1	0
.8.7...5.45.........284.3...3.4..2...7..1..9...4..2.....8.769.........23.....8.6.	9.50	6.31	1	0
........684.....2.1..2589...6..81....98...61....93..7...7425..1.2.....936........	4.09	3.42	0	0
.86.7...........5.....6...7..4.87.3..7.5....28....3...2.......5.482.93..3....1.26	3.72	4.75	0	0
.7..1.....3.8...54....63..2..75.6.3...5.....7.8.3.9......79....4......6.....3.28.	9.74	6.31	1	0
3.8...7.2...3.4......7......8.....9..96...58...5..13..9..6.5..7..79.36.........2.	6.07	4.92	0	1
.37....9.6..9..8...8..4...1....6..7...97.84.....432...1...8..6.7....5..8......52.	17.48	11.79	1	0
...1..3.4...2.4..8.....6.5913..5..429....8..6.24......8..........18.....352.6....	6.59	6.99	1	0
....3467......1......8961....4..8.1.9.7.....25613..49.6.8..9.4.1..4.28......8....	4.40	4.39	0	0
3..9.48.5...7.2.............4.3.9.....9...2...75..638.1.......6..21.7.5..........	5.54	6.56	0	0
......9...1.29...6.3.5....7.2....1...7.....6...6....254....1.722...67.8...5......	5.86	5.98	0	0
.....3.7....29.85...61.4..9..4.......95...63....3..7..3..7.65....2..1......4.....	7.21	5.01	0	0
..92......2.........1765...7....962..46.2..8........1.49..56..3..3..4.........9..	12.35	5.37	0	0
..63......8.6.9...4.....9...4..6...38.......77...1..69.73.....8...4...1......57..	8.25	8.33	1	0
.42....7.8..2.4..3..6...9...5.4.7.3.7.......2.2...9.5....3.8......5.1..6......59.	9.94	7.24	1	0
..1.8.9.3....628..........1..6..84.5.1.......7..2...3..94....2..6.....7..8.9.3...	4.45	5.40	0	1
954...8..............2.4..76.......8......2..2.8...7.4..93.65......2.6...7...8.9.	12.14	6.53	0	0
....3.....7...5...83.7..65.4....2..8..18........3....6.9....57...2..1...3.5...4..	20.49	9.81	1	1
9..4..7...1.....4.....37.....9..8.5.8.......2.4.1...3....96.....8.....2...3.71..5	13.91	5.73	1	0
.....4..7......81..2.5.93..4......3..87...46..6......1..24.357...1......3..2.....	3.91	5.43	0	0
.1...8..9....1...2.3.2..65..2....9.35..7.....9...8......58..1..4....3.7..9...5...	35.18	8.49	1	0
..1...54....2.7.............294..61...........4.8.3.2...........9.6.2.3..72...96.	11.25	13.69	0	0
..23.85.6..5...1..9.......4...91....2.......5....36....8.....1.......9..6..7.2..8	8.86	6.55	0	0
9..62..57.7..94.2......7.1.8......6.46....1...95....4.....1...42418.5..96.....58.	5.84	4.48	0	1
............1..5.4...583.....395..61.....84.3.426.......53......9....1.78.6..1...	3.92	4.49	0	0
8.942.............2....657..1.3..9..6.....71.78......21...43...........6.4..1..5.	24.03	10.16	1	0
.......7.....9.1...367.1....5...4...7..1....62..35............4.19..7..33...4.29.	5.85	7.47	0	0
93.....26........8.7.2.9.......4.....8..5..6..97..13..........54..3.59...1.....4.	9.15	7.48	0	1
3.8...........1.9..4562..3.....3.589..7...1..582.1.....7..5491..6.7...........2.8	6.38	2.82	0	0
53....6.....2...1..2...87......83..6.12......4..6..1.......7..8...85.3...46.3....	12.68	6.32	1	0
54..1...2..6...3..2..3.9..4....3.......6.4...6.21..9.7.61..745...........57....8.	5.39	4.51	0	0
3.2.7.4.6.........5.1...9.22.8...5.9....9.......4.7....8..3..4.7.36.82.1.........	4.69	3.86	0	0
3.1....9..7...84..8.6...7......5.8.....1.76......8...3.5769....4.......7.....5.2.	11.81	5.30	0	0
7....1....8...36..5.3.9...2...5....39...7...4...6.9.2............82...3..1...85..	35.35	9.44	0	0
..7..6.4.5.......1..12....3.4..59...............31..2.8....437.6.......8.9.5..1..	21.90	8.98	1	0
..8.2.7.....3....2.1.....8.1.....3.5.3.....4.9.7...2...7.....6.2..7....4..5.3.9..	5.13	5.38	0	0
.2..9.5.......5..44.36.8....32......9.......6..6...38...53.64.73..9.......7.1..6.	7.67	6.80	1	0
...4.761.6.1..3.57.....5.4.5......7...4.7.8...1......4.9.3.....23.7..1.5.756.8...	8.14	4.20	1	0
.5.4.7.2....9.....2....1..........7.93.....42.6.......3....6..88..1....9.4.7.5...	13.68	5.42	0	0
.6...48...3..7..1....9.....6...8.3.9.4.6.3.8.........5.....9..732..5..6...81...5.	9.72	7.96	1	0
7...3.8.......9.65..3....7.4.2.6..136...........17....9....6....6...75...3..8...9	10.40	17.96	1	0
.....12.3.1.93.4..........15.6...1.29...2..7...7.....87.94.5......6....7..3......	4.96	3.65	0	0
..78....5.1....43.2..9.....7.3...5......42.......8.3...3.2.7..4....6....62....9..	14.42	12.94	1	1
..3...1.75.......6..93.68....7...3....4..26.....7.9....7.9.3.4.2.......1.4..6..8.	9.87	5.92	1	0
.7.........86..7.9.1..2..8.....3.2....48.93....941.....3..41...6.7.............5.	9.04	5.14	1	0
2.7..5.168.1...7...4.....385...2.......4.1.......8...231.....9...6...2.448.6..1.3	10.03	7.16	1	0
.4....231..8......21....9.4675.9.........5...1.26........17..5....8....2.....264.	5.29	6.16	0	0
54......2..7........6...35.7...1.....6.5.9.8..1..3...9.78...4..1...568.....9...21	8.54	7.65	1	0
......7.9.7.3...2.....7..16.2..18.....15..27....6.3...2...4.56..57.3.8..3.6......	3.24	4.44	0	0
.57.86.....2..53...9.........82...45.........7....48......4.63...39..7.....67.15.	4.78	4.02	0	0
.....8.7..2.91.....9....6.8.74..9...1.8............7855.2...41.....5.....83..4..6	10.00	7.29	1	0
.7..85..26.............95....6.....42......8.9.31.......8....1....4..3.71..3...9.	11.12	5.88	0	0
.6.....9...93.57.....4.9...2..8.1..5..1...4..3.......7..6154..........1...5..63..	5.15	6.59	0	1
.69.....38.7.6...225.....9......34...7..529.....89.7.....529.1...3...5..79.......	4.60	5.06	0	0
.495.....5..3...2.....9.1......86....3.1..8..7.....95.4.......16...5.3...8.7.....	12.96	8.61	1	1
1..4...686.....3...7.2.....9...4.7.....615...4.3...........9.2...5.......4...1..5	10.47	5.67	0	0
5......37.18...9..2......1......4.....79832.....1......5..2...3..3.7.4867.......9	15.81	4.10	0	0
.........1.5...9.73..9.7..89..6.1..2.........6..5.4..3..........4...369..6..8..75	8.26	5.68	0	0
5...7...4........7.63...28..861........2.9....29..87...34....5..7.....39....4....	4.86	4.70	0	0
..3...7...1.5.8.3............16.45..2.63.79.4...8.5...16.....92.2.....1..9.....5.	17.39	5.58	0	1
....7..9....6..2.47....938..8.......4.1...7...2.1....3.6..4....5..9.8.....93..6.8	69.32	35.21	1	0
5.......4.692.571....8.7...67.1.2.95.9.....8.81.7.9.32...3.4....319.825.7.......9	2.54	2.83	0	1
.4...1.......5.........286.3..6..2.5...7.....4.5.....65738......1..3..7....1...9.	5.91	4.59	0	0
.14..52.66..8..357..........3....61........7.5....28..1..2.7....8.36....76..5....	14.84	7.92	1	0
....43.68.6.9...5........4...7.3.5...43...27.6.9.7.8...9...8....3...6.2..7.2.....	14.62	6.79	1	1
.2..7..4....1.3.6......98..3.4...2.5...3.1....9.........2...59...3...6..9..4.8..1	8.36	5.78	1	0
....3..8...8..59....2..7.1.....72.5.6..1...4..173......5.6...9.8.4.9.7...........	9.96	6.59	1	0
5...8..91...63..4.....4.3.57....8..3.54...1..1...2......8..6..926.......9....1...	14.84	3.85	0	0
.4.6.....9...5.......4.2.9.8....3.1..9....3.22.59..6......4...1..25....8......53.	3.85	6.14	0	0
..65...4......98.5..21......8..96...9.......4..4...1..2......7...76.5...45...2..3	9.90	9.40	1	0
....1..2.8.....9....9.5.4......4..9.5.7..62...1..9...6..4.7283......4....2.53....	13.65	10.11	1	0
...5.7.....9.8.1..27.....9.56...3.87.........9.......3...4.6...75......9..1..28..	4.93	4.51	0	0
.7...36......647..81.7.....5...2.9..29.3...8...8.....7.....2.6...983......36...5.	7.94	8.78	1	0
.94.....6..56.8..2.......9......5.8..........91.3..2...3.......1..9..6..2.7...34.	4.94	8.44	0	1
.3..2...4......26.8.....5.721........586.439........866.5.....8.27......3...5..2.	4.64	4.21	0	1
...8....2...1..974...794...1.8...6.......7.....3.5..2..1.....4..4...35..62.......	8.38	7.75	1	0
.1.4...2.4..6.97.3..8........7568...............72.5....6...2....29.64...3.2...9.	26.78	18.94	1	0
8...4...94..7.3.65.1.....2..4.........1...5.....268...5.......6.2.....7..36...8..	6.26	5.62	0	0
5.......67.248.....3...2.....12.....6....392.....5...3.....8...14.3....2..7....4.	15.11	22.18	1	0
5..1.3..8...872.......4....2.3..61.5..7...9....4..8..6............637...6..5....2	13.80	9.58	1	0
.39....4....7819..1.........2..37........9725..18.........9...4.674....8.....5...	4.70	4.65	0	0
68...1....2.4.......3..5.9....59..64......8...4...7..5......93.5......1...4.3...6	8.21	9.94	1	0
....6......1...5..43...1.62.149.387...........896..1..39...7.18......7.9....2....	11.11	5.08	0	0
96.4..5..5.13.....2........4....96........8.1...7.3..4.28.9.........6...7.3....2.	5.77	4.97	0	1
1.3.....6...9.6....4...19.7.86....3...5.......3....41...842.7.....3.7...9........	4.54	5.30	0	0
....5.....75...12.9.1...3.4...7.3....2..6..8.85.....47...628.......4....4.......6	6.57	4.72	1	0
7......25...364...4.......88....7.61....4.....2.....9...7.....6...521.....3...8..	7.54	5.86	0	0
.1..........935...6.5...3.8.7.2.6.13...7.9.....8.5.4...3.....7....6.1...2.......4	6.25	6.12	0	1
..31.59.....8....4.1..3.............9..2.6..8..43.96..62.....59...6.7...7.......1	12.18	9.42	1	0
5....8..1......4...32...9..7...1...4...2.9...1...5..87..3...75..........8..9.3...	6.88	4.89	0	0
..8..21.5.1...7.42...1.......7......4.38...9..8.42...15....6.8.......9..2...3....	12.07	6.33	0	0
......3....4.....66..2...7..1..5........3..92.3..41....2...8.4.1...6.....8...39..	10.92	4.91	0	0
3....92.88.5..1....6.8.5...9....4.....2...8.....1....5...4.2.3....3..6.74.75....2	9.87	3.62	1	0
5.86.....4..2.......6417.........2.1.1..7.5..9...8.7.........6.1...3..5.6.9.4.1..	4.67	4.71	0	0
..4...8..1..5.9..62...3...9..19.32.............34.6....6..74.9..4.....1...2...7..	8.43	5.64	0	0
.13...97..9.....6....5.1.....62..5.1...........18.92......62....4........691.842.	4.35	5.69	0	0
...7....9....94..3.......8.8.......7.....1.6..92.8..5........21..8.425...7.1..3..	5.68	6.03	0	0
.2.....5.78......2..3.9.1..8...4......42.16......7...42...8.5...6......3.3.6..79.	41.01	91.13	1	0
9..3..62........3...3..241758.1......3.......46...3..98..74.5......8......46.....	6.08	6.82	0	0
..37.9.1.2..4......1.3....21.....576.........724.....89....4.....6..5..4.4.8.3...	4.48	4.00	0	0
.76..3......49.17....56.........9..461....89...4...36...8.....774.3.....93...5...	8.01	10.00	1	0
7..8.1.263.1..2.......3..4.14.3.7..5..8...7..6..5.9.18.2..6.......7..5.293.2.8..1	1.76	2.71	0	0
...3.9.....5...6...24...15.2...9...6.3.8.6.9.4..........6.1.7.....7.8...8.......5	13.61	6.93	1	0
....2.7.5..8.1.....7...5.9....6..94..6...98....2.8..1.4...9....6.91.7...7........	15.17	7.11	1	0
3......97......56.9..2...81..7...1..2....83.......4..81.6.5........3....49..716..	5.98	4.94	0	0
.16..4......2....6.8...51....9.3.....58...29.....8.3....23...4.5....8......1..76.	10.85	8.84	1	0
..2..51...5..49.2.9.7...5.349.186....3.2.7.5....534.615.4...6.9.8.96..1...94..3..	3.19	2.91	0	1
..53...9..6...2.7....57..6..1.9..3...2......7.7....65.4...3.9.8....8..4.18.......	19.78	17.82	1	0
.6....1..4.......6...3.1.....2.5...3.742...1...9....65..7....5.....193.2.2.8.5...	5.82	5.02	0	0
.8..1..9.....8.......5.913..5......69..3.4..23......4.2.31.7........5....9..4..7.	19.90	14.19	1	0
.51..4..3.7......46...8.2.....6............8...2.51.6.9...2674...45....9...1.....	4.07	5.05	0	0
.78..15.49...83.1........8.3.6.49..2.4.7...63.2.........25.7.41.83.2.9......9....	3.37	2.75	0	0
.......23..1.3......5.1.8....3......72...64..9.638..........9...1.2.4..75..9...4.	6.30	4.59	0	0
.652.7..4..1.9...7..9...5...7...2..8.........2..4...9...7...1..9...3.6..6..5.482.	10.13	7.89	1	1
7...2...4.5.3.4.6....578...9.5...4.3..8...9..1.6...5.2...147....1.2.6.4.6...3...8	2.93	3.73	0	0
.2....7..78...34..3.......62...8.......39...2..91........5...1..917..64......45..	14.54	8.17	1	0
3....5...2.1...7...9.2...819..3.25.............64.8..34......9...9...2..73.8..1.4	13.73	13.31	1	0
6.......2..89..4......6......9.7.....3.....7112.....985....13.42.......7...4.3...	9.21	6.54	0	1
..6....54........15....1........9.4.6..4..2.8..12.7.......5..3....6.49.731..9..6.	3.91	4.25	0	0
1...9...89..4..........5.....46...7.........1.6.5.7......7.9....5...8.64.7......3	4.81	4.78	0	0
.5...9......3.69....2...5383..4..2..4.......986................2.8.4...1.1..9.8.7	4.37	6.22	0	1
.2.1..........6..79.3.5.8...3...4..5......6..5..7.3.1...7.2...42..5.......8..7.3.	8.01	6.44	0	0
...6.........394...8.....317...642..92.....46..398...534.....7...649.........5...	13.91	11.79	1	0
.4.8.....1.3..9..2......94.....5.6....93.4...52...1...6......9...2..8..4...92...7	5.69	6.02	0	0
...8..3...95..46..1....9...4.6...9...........8.....4.2...3.7..4.539...6...76.82..	6.44	4.26	0	1
.91.2.8...3...9.6..6.7.....2...76.4..8..3...1......2...2.5...84..9....3.5........	21.05	5.72	0	0
..654..733....1..9......6...14..65....53.....8........58..67..2..9..43.....1.....	10.77	5.57	0	0
4.93.....2.8........1..932...28.6......7.....96...5..43....7..6......8.7..4.5...2	6.06	4.86	0	0
...8..7..3...9....1.7...9.6.5.6.7.....1...5...4.....8.9.....8.16.......2...9.24..	5.16	4.74	0	1
72.8..51.1.....9...5.3....8...64.....3.9.8.4.....71...4....7.2...8.....9.17..6.85	4.54	4.18	0	0
